threshold,precision,recall,f1
0.5,1.0,0.25,0.4
0.51,1.0,0.25,0.4
0.52,1.0,0.25,0.4
0.53,1.0,0.25,0.4
0.54,1.0,0.25,0.4
0.55,1.0,0.25,0.4
0.56,1.0,0.25,0.4
0.57,1.0,0.25,0.4
0.58,1.0,0.25,0.4
0.59,1.0,0.25,0.4
0.6,1.0,0.25,0.4
0.61,1.0,0.5,0.6667
0.62,1.0,0.5,0.6667
0.63,1.0,0.5,0.6667
0.64,1.0,0.5,0.6667
0.65,1.0,0.5,0.6667
0.66,1.0,0.5,0.6667
0.67,1.0,0.5,0.6667
0.68,1.0,0.5,0.6667
0.69,1.0,0.5,0.6667
0.7,1.0,0.5,0.6667
0.71,1.0,0.5,0.6667
0.72,1.0,0.525,0.6885
0.73,1.0,0.525,0.6885
0.74,1.0,0.525,0.6885
0.75,1.0,0.525,0.6885
0.76,1.0,0.525,0.6885
0.77,1.0,0.525,0.6885
0.78,1.0,0.525,0.6885
0.79,1.0,0.525,0.6885
0.8,1.0,0.525,0.6885
0.81,1.0,0.525,0.6885
0.82,1.0,0.525,0.6885
0.83,1.0,0.525,0.6885
0.84,1.0,0.75,0.8571
0.85,1.0,0.75,0.8571
0.86,1.0,1.0,1.0
0.87,1.0,1.0,1.0
0.88,1.0,1.0,1.0
0.89,1.0,1.0,1.0
0.9,1.0,1.0,1.0
0.91,1.0,1.0,1.0
0.92,1.0,1.0,1.0
0.93,1.0,1.0,1.0
0.94,1.0,1.0,1.0
0.95,1.0,1.0,1.0
0.96,1.0,1.0,1.0
0.97,1.0,1.0,1.0
0.98,1.0,1.0,1.0
0.99,1.0,1.0,1.0
